MOF,MOFid,CO2_wc_001,CO2_wc_005,CO2_wc_01,CO2_wc_05,CO2_wc_25,metal_node,organic_linker,len_linkers
hMOF-5066331,Fc1cc(c(cc1c1ccncc1F)F)c1c(F)cncc1F.Fc1cc(ccc1c1ccc(c(c1)F)c1ccc(cc1F)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)C12C(F)C(F)C(C(C1F)F)(C(C2F)(F)F)C(=O)[O-] MOFid-v1.pcu.cat1;5066331,0.179057,0.977998,2.0063,5.93712,8.35234,[Cu][Cu],"['Fc1cc(c(cc1c1ccncc1F)F)c1c(F)cncc1F', 'Fc1cc(ccc1c1ccc(c(c1)F)c1ccc(cc1F)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C12C(F)C(F)C(C(C1F)F)(C(C2F)(F)F)C(=O)[O-]']",3
hMOF-37361,Cc1cc(C(=O)[O-])c(cc1C#Cc1ccc(c(c1)C)C(=O)[O-])C.Cc1cc2c(C)cncc2c2c1-c1cnccc1C=[C]2.[Cu][Cu].[O-]C(=O)C1=CC=C(C(=[C]1)C)C#Cc1c(C)cc(c(c1C)C)C(=O)[O-] MOFid-v1.pcu.cat1,0.389145,1.89357,3.54774,8.36356,11.5668,[Cu][Cu],"['Cc1cc(C(=O)[O-])c(cc1C#Cc1ccc(c(c1)C)C(=O)[O-])C', 'Cc1cc2c(C)cncc2c2c1-c1cnccc1C=[C]2', '[O-]C(=O)C1=CC=C(C(=[C]1)C)C#Cc1c(C)cc(c(c1C)C)C(=O)[O-]']",3
hMOF-36592,Fc1cc(ccc1N=Nc1ccc(c(c1F)F)C(=O)[O-])C(=O)[O-].Fc1cncc(c1N=Nc1c(F)cncc1F)F.[Cu][Cu].[O-]C(=O)c1cc2c(F)cc3c4c2c(c1F)cc(c4c(c(c3F)C(=O)[O-])F)F MOFid-v1.pcu.cat1,0.203136,1.13969,2.01221,6.92423,10.6232,[Cu][Cu],"['Fc1cc(ccc1N=Nc1ccc(c(c1F)F)C(=O)[O-])C(=O)[O-]', 'Fc1cncc(c1N=Nc1c(F)cncc1F)F', '[O-]C(=O)c1cc2c(F)cc3c4c2c(c1F)cc(c4c(c(c3F)C(=O)[O-])F)F']",3
hMOF-5069526,Clc1cnc2c(n1)C[CH]2.[Cu][Cu].[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])Cl)Cl)Cl.[O-]C(=O)c1c(Cl)cc(c2c1[CH]C2(Cl)Cl)C(=O)[O-] MOFid-v1.pcu.cat0;5069526,0.298597,1.39309,2.12659,3.59683,4.95567,[Cu][Cu],"['Clc1cnc2c(n1)C[CH]2', '[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])Cl)Cl)Cl', '[O-]C(=O)c1c(Cl)cc(c2c1[CH]C2(Cl)Cl)C(=O)[O-]']",3
hMOF-34921,[CH2]Oc1cc(OC)c2c(c1OC)c(C(=O)O)c(c(c2C(=O)[O-])[CH][CH2])[CH].COC1=CC(=C([C]=C1C(=O)[O-])OC)C(=O)[O-].[CH2]OC1=[N]=C(C=N[CH]1)O[CH2].[Cu][Cu] MOFid-v1.pcu.cat0,0.512434,1.65521,2.18677,3.27344,3.92819,[Cu][Cu],"['[CH2]Oc1cc(OC)c2c(c1OC)c(C(=O)O)c(c(c2C(=O)[O-])[CH][CH2])[CH]', 'COC1=CC(=C([C]=C1C(=O)[O-])OC)C(=O)[O-]', '[CH2]OC1=[N]=C(C=N[CH]1)O[CH2]']",3
hMOF-30496,Cc1nc(C)c(nc1C)C.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-].[O-]C(=O)c1cc(C)c(c(c1)C)C(=O)[O-] MOFid-v1.pcu.cat0,0.478053,1.66089,2.73992,4.81389,6.31127,[Cu][Cu],"['Cc1nc(C)c(nc1C)C', '[O-]C(=O)C=CC(=O)[O-]', '[O-]C(=O)c1cc(C)c(c(c1)C)C(=O)[O-]']",3
hMOF-37074,Cc1nc(C)c2c3c1ccc1c3c(cc2)cnc1.[Cu][Cu].[O-]C(=O)c1cc2c(C)c(C)c3c4c2c(c1C)cc(c4c(c(c3C)C(=O)[O-])C)C.[O-]C(=O)c1cc2ccc3c4c2c(c1)c(C)cc4cc(c3C)C(=O)[O-] MOFid-v1.pcu.cat1,3.41643,5.19779,5.56125,6.66112,7.23944,[Cu][Cu],"['Cc1nc(C)c2c3c1ccc1c3c(cc2)cnc1', '[O-]C(=O)c1cc2c(C)c(C)c3c4c2c(c1C)cc(c4c(c(c3C)C(=O)[O-])C)C', '[O-]C(=O)c1cc2ccc3c4c2c(c1)c(C)cc4cc(c3C)C(=O)[O-]']",3
hMOF-35300,CCCC(=C(C(=O)[O-])CCC)C=CC(=O)[O-].CCCN=CC(=NCCC)CCC.CCCc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1)CCC)C[CH2].[Cu][Cu] MOFid-v1.pcu.cat0,1.5707,2.91998,3.16305,3.8759,4.11816,[Cu][Cu],"['CCCC(=C(C(=O)[O-])CCC)C=CC(=O)[O-]', 'CCCN=CC(=NCCC)CCC', 'CCCc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1)CCC)C[CH2]']",3
hMOF-34458,CCCc1c(C#N)cc(c(c1CCC)C#N)CCC.CCCc1c(C(=O)[O-])c2ccccc2c(c1CCC)C(=O)[O-].CCCc1ccc2c(c1)c(cc(c2C(=O)[O-])CCC)C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0,0.783139,2.97025,4.21423,6.5055,8.70987,[Cu][Cu],"['CCCc1c(C#N)cc(c(c1CCC)C#N)CCC', 'CCCc1c(C(=O)[O-])c2ccccc2c(c1CCC)C(=O)[O-]', 'CCCc1ccc2c(c1)c(cc(c2C(=O)[O-])CCC)C(=O)[O-]']",3
hMOF-37128,CCc1cc(C(=O)[O-])c(c(c1C(=O)[O-])CC)CC.CCc1cc(ccc1C(=O)[O-])C(=O)[O-].CCc1nccnc1CC.[Cu][Cu] MOFid-v1.pcu.cat0,0.381724,1.94042,3.03319,5.54645,7.0094,[Cu][Cu],"['CCc1cc(C(=O)[O-])c(c(c1C(=O)[O-])CC)CC', 'CCc1cc(ccc1C(=O)[O-])C(=O)[O-]', 'CCc1nccnc1CC']",3
hMOF-30551,ClC1=CC(=[C]C=N1)C1=CC(=NC(=[C]1)Cl)Cl.Clc1cc(ccc1c1ccc(c(c1)Cl)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.pcu.cat1,1.051,1.81342,2.22087,2.92268,3.29642,[Cu][Cu],"['ClC1=CC(=[C]C=N1)C1=CC(=NC(=[C]1)Cl)Cl', 'Clc1cc(ccc1c1ccc(c(c1)Cl)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]']",3
hMOF-5063081,Cc1cc2cncc3c2c2c1cncc2cc3.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1cc2c(C)cc3c4c2c(c1C)c(C)c(c4c(c(c3C)C(=O)[O-])C)C MOFid-v1.pcu.cat1;5063081,0.632313,1.9146,2.86723,5.10009,6.95488,[Cu][Cu],"['Cc1cc2cncc3c2c2c1cncc2cc3', '[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1cc2c(C)cc3c4c2c(c1C)c(C)c(c4c(c(c3C)C(=O)[O-])C)C']",3
hMOF-5074593,CC1=[C]C(=C(C(=N1)C)C)C=Cc1c(C)cnc(c1C)C.Cc1cc(C(=O)[O-])c(cc1C=Cc1ccc(cc1)C(=O)[O-])C.[Cu][Cu].[O-]C(=O)C1=[C]C(=C(C=C1)C=Cc1c(C)cc(cc1C)C(=O)[O-])C MOFid-v1.pcu.cat1;5074593,0.21756,1.16726,2.17365,7.56646,12.396,[Cu][Cu],"['CC1=[C]C(=C(C(=N1)C)C)C=Cc1c(C)cnc(c1C)C', 'Cc1cc(C(=O)[O-])c(cc1C=Cc1ccc(cc1)C(=O)[O-])C', '[O-]C(=O)C1=[C]C(=C(C=C1)C=Cc1c(C)cc(cc1C)C(=O)[O-])C']",3
hMOF-30259,CCc1c(N=Nc2ccc(c(c2)CC)C(=O)[O-])cc(c(c1CC)C(=O)[O-])CC.CCc1cc(ccc1N=Nc1cc(CC)c(cc1CC)C(=O)[O-])C(=O)[O-].CCc1cnc(c(c1N=Nc1c(CC)cnc(c1CC)CC)CC)CC.[Cu][Cu] MOFid-v1.pcu.cat1,0.48407,2.29487,3.78864,7.40375,10.0106,[Cu][Cu],"['CCc1c(N=Nc2ccc(c(c2)CC)C(=O)[O-])cc(c(c1CC)C(=O)[O-])CC', 'CCc1cc(ccc1N=Nc1cc(CC)c(cc1CC)C(=O)[O-])C(=O)[O-]', 'CCc1cnc(c(c1N=Nc1c(CC)cnc(c1CC)CC)CC)CC']",3
hMOF-28402,Fc1c(ccc(c1F)c1c(F)cc(c(c1F)F)C(=O)[O-])c1ccc(c(c1F)F)C(=O)[O-].Fc1nccc(c1)c1cc(F)c(cc1F)c1ccnc(c1F)F.[Cu][Cu].[O-]C(=O)C#Cc1ccc(c(c1F)F)C#CC(=O)[O-] MOFid-v1.pcu.cat2,0.245493,1.16945,2.0416,5.7437,8.032,[Cu][Cu],"['Fc1c(ccc(c1F)c1c(F)cc(c(c1F)F)C(=O)[O-])c1ccc(c(c1F)F)C(=O)[O-]', 'Fc1nccc(c1)c1cc(F)c(cc1F)c1ccnc(c1F)F', '[O-]C(=O)C#Cc1ccc(c(c1F)F)C#CC(=O)[O-]']",3
hMOF-29637,Cc1c(N=Nc2ccc(c(c2)C)C(=O)[O-])cc(c(c1C)C(=O)[O-])C.Cc1nccc(c1)c1ccnc(c1C)C.[Cu][Cu].[O-]C(=O)c1ccc(c(c1)C)C1=C[C]=C(C(=C1C)C)C(=O)[O-] MOFid-v1.pcu.cat1,0.585704,2.40419,4.33923,8.32843,10.443,[Cu][Cu],"['Cc1c(N=Nc2ccc(c(c2)C)C(=O)[O-])cc(c(c1C)C(=O)[O-])C', 'Cc1nccc(c1)c1ccnc(c1C)C', '[O-]C(=O)c1ccc(c(c1)C)C1=C[C]=C(C(=C1C)C)C(=O)[O-]']",3
hMOF-5061162,N#CC#CC#N.[Cu][Cu].[O-]C(=O)C1=C2CCC2=C([C]=C1)C(=O)[O-].[O-]C(=O)c1cc(C)c(c2c1CC2)C(=O)[O-] MOFid-v1.pcu.cat1;5061162,1.00441,2.23183,2.70608,3.75526,4.39325,[Cu][Cu],"['N#CC#CC#N', '[O-]C(=O)C1=C2CCC2=C([C]=C1)C(=O)[O-]', '[O-]C(=O)c1cc(C)c(c2c1CC2)C(=O)[O-]']",3
hMOF-5077155,CCCc1cc(ccc1c1nnc(nn1)c1c(CCC)cc(cc1CCC)C(=O)[O-])C(=O)[O-].CCCc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.CCCc1ccc2c(c1)nc1c(n2)cc(c(c1)CCC)CCC.[Cu][Cu] MOFid-v1.pcu.cat0;5077155,1.53596,3.02989,3.8112,5.82701,7.67719,[Cu][Cu],"['CCCc1cc(ccc1c1nnc(nn1)c1c(CCC)cc(cc1CCC)C(=O)[O-])C(=O)[O-]', 'CCCc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1', 'CCCc1ccc2c(c1)nc1c(n2)cc(c(c1)CCC)CCC']",3
hMOF-5067004,Nc1cc2c(ccc(c2c(c1N)N)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)C12CC(N)C(C(C1N)N)(C(C2N)N)C(=O)[O-].c1ccc2c(c1)nccn2 MOFid-v1.pcu.cat0;5067004,0.3485,1.38559,2.09274,3.68051,4.62873,[Cu][Cu],"['Nc1cc2c(ccc(c2c(c1N)N)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C12CC(N)C(C(C1N)N)(C(C2N)N)C(=O)[O-]', 'c1ccc2c(c1)nccn2']",3
hMOF-27440,Brc1ncc(c(c1)c1ccnc(c1)Br)Br.[Cu][Cu].[O-]C(=O)C1=C[C]=C([C]=C1)C1=CC(=C(C=[C]1)C(=O)[O-])Br.[O-]C(=O)C1=C[C]=C([C]=C1)C1=C[C]=C(C=[C]1)C(=O)[O-] MOFid-v1.pcu.cat1,0.472227,1.44128,2.27686,3.44304,4.33061,[Cu][Cu],"['Brc1ncc(c(c1)c1ccnc(c1)Br)Br', '[O-]C(=O)C1=C[C]=C([C]=C1)C1=CC(=C(C=[C]1)C(=O)[O-])Br', '[O-]C(=O)C1=C[C]=C([C]=C1)C1=C[C]=C(C=[C]1)C(=O)[O-]']",3
hMOF-30988,Clc1nccc(c1Cl)N(N(c1c(Cl)c(Cl)nc(c1Cl)Cl)Cl)Cl.[Cu][Cu].[O-]C(=O)C1=CC=C([C]=C1Cl)N=NC1=[C]C=C(C(=C1)Cl)C(=O)[O-].[O-]C(=O)C=[C]C(=O)[O-] MOFid-v1.pcu.cat1,0.975855,2.09788,2.68028,3.57851,4.04417,[Cu][Cu],"['Clc1nccc(c1Cl)N(N(c1c(Cl)c(Cl)nc(c1Cl)Cl)Cl)Cl', '[O-]C(=O)C1=CC=C([C]=C1Cl)N=NC1=[C]C=C(C(=C1)Cl)C(=O)[O-]', '[O-]C(=O)C=[C]C(=O)[O-]']",3
hMOF-5080315,Cc1cc(C(=O)[O-])c(cc1N1[C]c2c(C)c(C)c3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1ccc(c(c1)C)C(=O)[O-])C.N#CC=C(C#N)C.[Cu][Cu].[O-]C(=O)c1ccc(c(c1)C)N1[C]c2c(C)c(C)c3c4c2c(C1=O)ccc4[C]N(C3=O)c1cc(C)c(cc1C)C(=O)[O-] MOFid-v1.pcu.cat3;5080315,0.576546,1.52618,2.14861,3.27571,4.13141,[Cu][Cu],"['Cc1cc(C(=O)[O-])c(cc1N1[C]c2c(C)c(C)c3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1ccc(c(c1)C)C(=O)[O-])C', 'N#CC=C(C#N)C', '[O-]C(=O)c1ccc(c(c1)C)N1[C]c2c(C)c(C)c3c4c2c(C1=O)ccc4[C]N(C3=O)c1cc(C)c(cc1C)C(=O)[O-]']",3
hMOF-34876,CCc1cc2c(ccc(c2c(c1CC)CC)C(=O)[O-])C(=O)[O-].CCc1ccc2c(c1)c(ccc2C(=O)[O-])C(=O)[O-].CCc1ccc2c(c1)nc(cn2)CC.[Cu][Cu] MOFid-v1.pcu.cat0,0.860472,1.56284,2.11693,3.16126,3.46634,[Cu][Cu],"['CCc1cc2c(ccc(c2c(c1CC)CC)C(=O)[O-])C(=O)[O-]', 'CCc1ccc2c(c1)c(ccc2C(=O)[O-])C(=O)[O-]', 'CCc1ccc2c(c1)nc(cn2)CC']",3
hMOF-5060590,COc1cc([O])cc2c1c(C(=O)[O-])c1ccccc1c2C(=O)[O-].[Cu][Cu].[O-]C(=O)C#CC#CC(=O)O.COc1cc(O[CH2])c2c(c1)nc1c(n2)ccc(c1)[O] MOFid-v1.pcu.cat0;5060590,0.726063,2.02006,2.73024,4.12174,4.91717,[Cu][Cu],"['COc1cc([O])cc2c1c(C(=O)[O-])c1ccccc1c2C(=O)[O-]', '[O-]C(=O)C#CC#CC(=O)O', 'COc1cc(O[CH2])c2c(c1)nc1c(n2)ccc(c1)[O]']",3
hMOF-33771,Cc1cc(ccc1C#Cc1cc(C)c(c(c1C)C)C(=O)[O-])C(=O)[O-].Cc1cnccc1C#Cc1c(C)cnc(c1C)C.[Cu][Cu].[O-]C(=O)c1ccc2c(c1)c(C)c(c(c2)C(=O)[O-])C MOFid-v1.pcu.cat1,0.209041,1.13498,2.10708,7.03273,10.2455,[Cu][Cu],"['Cc1cc(ccc1C#Cc1cc(C)c(c(c1C)C)C(=O)[O-])C(=O)[O-]', 'Cc1cnccc1C#Cc1c(C)cnc(c1C)C', '[O-]C(=O)c1ccc2c(c1)c(C)c(c(c2)C(=O)[O-])C']",3
hMOF-37077,Cc1nc(C)c2c3c1ccc1c3c(cc2)cnc1.[Cu][Cu].[O-]C(=O)c1cc2c(C)cc3c4c2c(c1)c(C)c(c4cc(c3C)C(=O)[O-])C.[O-]C(=O)c1cc2c(C)cc3c4c2c(c1)c(C)cc4c(c(c3)C(=O)[O-])C MOFid-v1.pcu.cat1,1.37124,3.06561,3.40674,4.08273,4.44544,[Cu][Cu],"['Cc1nc(C)c2c3c1ccc1c3c(cc2)cnc1', '[O-]C(=O)c1cc2c(C)cc3c4c2c(c1)c(C)c(c4cc(c3C)C(=O)[O-])C', '[O-]C(=O)c1cc2c(C)cc3c4c2c(c1)c(C)cc4c(c(c3)C(=O)[O-])C']",3
hMOF-5081194,NC1=NC=[C]C(=C1)c1cc(N)ncc1N.[Cu][Cu].[O-]C(=O)c1ccc(cc1)C1=C(N)[C]=C(C(=C1)N)C(=O)[O-].[O-]C(=O)c1ccc(cc1N)c1c(N)cc(c(c1N)N)C(=O)[O-] MOFid-v1.pcu.cat1;5081194,0.313653,1.47365,2.73022,5.98559,8.29288,[Cu][Cu],"['NC1=NC=[C]C(=C1)c1cc(N)ncc1N', '[O-]C(=O)c1ccc(cc1)C1=C(N)[C]=C(C(=C1)N)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1N)c1c(N)cc(c(c1N)N)C(=O)[O-]']",3
hMOF-33517,CCCc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C(C2CCC)(CCC)CCC.CCCc1cc(cc2c1cc(cc2CCC)C(=O)[O-])C(=O)[O-].CCCc1ncc2c(c1)c(C[CH2])ncc2CCC.[Cu][Cu] MOFid-v1.pcu.cat0,0.856509,2.79147,4.11468,6.1257,7.19682,[Cu][Cu],"['CCCc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C(C2CCC)(CCC)CCC', 'CCCc1cc(cc2c1cc(cc2CCC)C(=O)[O-])C(=O)[O-]', 'CCCc1ncc2c(c1)c(C[CH2])ncc2CCC']",3
hMOF-35538,CCC1=C(CC)C(=[C]c2c1ccc1c2cccc1C(=O)[O-])C(=O)[O-].CCc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C(C2)CC.CCc1cnc2c(n1)C(C2CC)(CC)CC.[Cu][Cu] MOFid-v1.pcu.cat0,0.841164,2.41818,3.23022,4.61337,5.74268,[Cu][Cu],"['CCC1=C(CC)C(=[C]c2c1ccc1c2cccc1C(=O)[O-])C(=O)[O-]', 'CCc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C(C2)CC', 'CCc1cnc2c(n1)C(C2CC)(CC)CC']",3
hMOF-36218,ClC1=NC=C(C(=[C]1)C1=CC=C([C]=C1)c1ccncc1Cl)Cl.[Cu][Cu].[O-]C(=O)C1=C(Cl)C(=C([C]=C1)c1c(Cl)cc(c(c1Cl)Cl)c1ccc(c(c1)Cl)C(=O)[O-])Cl.[O-]C(=O)c1cc2C=[C]C3=[C]C(=C(c4c3c2c(c1)c(Cl)c4)Cl)C(=O)[O-] MOFid-v1.pcu.cat2,0.507978,1.9488,2.8227,4.3399,5.32629,[Cu][Cu],"['ClC1=NC=C(C(=[C]1)C1=CC=C([C]=C1)c1ccncc1Cl)Cl', '[O-]C(=O)C1=C(Cl)C(=C([C]=C1)c1c(Cl)cc(c(c1Cl)Cl)c1ccc(c(c1)Cl)C(=O)[O-])Cl', '[O-]C(=O)c1cc2C=[C]C3=[C]C(=C(c4c3c2c(c1)c(Cl)c4)Cl)C(=O)[O-]']",3
hMOF-30508,CCCc1c(ccc(c1CCC)C(=O)[O-])C(=O)[O-].CCCc1ncc(nc1)CCC.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.pcu.cat0,0.857675,2.13338,2.53382,3.39188,4.87928,[Cu][Cu],"['CCCc1c(ccc(c1CCC)C(=O)[O-])C(=O)[O-]', 'CCCc1ncc(nc1)CCC', '[O-]C(=O)C=CC(=O)[O-]']",3
hMOF-5063118,N#CC#CC#N.[Cu][Cu].[O-]C(=O)c1cc2c(O)c(O)c3c4c2c(c1O)cc(c4c(c(c3O)C(=O)[O-])O)O.[O-]C(=O)c1cc2cc(O)c3c4c2c(c1)c(O)cc4cc(c3O)C(=O)[O-] MOFid-v1.pcu.cat1;5063118,0.611577,2.23566,3.48588,6.41195,8.03414,[Cu][Cu],"['N#CC#CC#N', '[O-]C(=O)c1cc2c(O)c(O)c3c4c2c(c1O)cc(c4c(c(c3O)C(=O)[O-])O)O', '[O-]C(=O)c1cc2cc(O)c3c4c2c(c1)c(O)cc4cc(c3O)C(=O)[O-]']",3
hMOF-34419,Fc1ccc2c(c1)c(C(=O)[O-])c(c(c2C(=O)[O-])F)F.N#Cc1cc(F)c(c(c1)F)C#N.[Cu][Cu].[O-]C(=O)C#Cc1cc(F)c(c(c1)F)C#CC(=O)[O-] MOFid-v1.pcu.cat1,0.226939,1.13903,2.19346,5.59592,7.95874,[Cu][Cu],"['Fc1ccc2c(c1)c(C(=O)[O-])c(c(c2C(=O)[O-])F)F', 'N#Cc1cc(F)c(c(c1)F)C#N', '[O-]C(=O)C#Cc1cc(F)c(c(c1)F)C#CC(=O)[O-]']",3
hMOF-5068173,CCC1C(CC)C2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2(CC)CC)CC)CC.CCc1c(CC)c(N=Nc2cc(CC)c(c(c2)CC)C(=O)[O-])ccc1C(=O)[O-].CCc1c(ccnc1CC)N=Nc1ccncc1CC.[Cu][Cu] MOFid-v1.pcu.cat1;5068173,0.478003,1.81898,2.73523,5.20408,7.4482,[Cu][Cu],"['CCC1C(CC)C2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2(CC)CC)CC)CC', 'CCc1c(CC)c(N=Nc2cc(CC)c(c(c2)CC)C(=O)[O-])ccc1C(=O)[O-]', 'CCc1c(ccnc1CC)N=Nc1ccncc1CC']",3
hMOF-35527,FOC(=O)C1=C(F)C=[C]C2=C1[C]=C(F)C1=CC(=C([C]=C21)C(=O)[O-])F.Fc1cnc2c(n1)C(C2)(F)F.[Cu][Cu].[O-]C(=O)c1c(F)c(F)c(c2c1CC2)C(=O)[O-] MOFid-v1.pcu.cat0,0.334839,1.4201,2.10361,5.08145,7.79686,[Cu][Cu],"['FOC(=O)C1=C(F)C=[C]C2=C1[C]=C(F)C1=CC(=C([C]=C21)C(=O)[O-])F', 'Fc1cnc2c(n1)C(C2)(F)F', '[O-]C(=O)c1c(F)c(F)c(c2c1CC2)C(=O)[O-]']",3
