MOF,MOFid,CO2_wc_001,CO2_wc_005,CO2_wc_01,CO2_wc_05,CO2_wc_25,metal_node,organic_linker,len_linkers
hMOF-6002183,[O-]C(=O)C12CCC(CC1)(C(C2)C)C(=O)[O-].[O-]C(=O)c1cc2c(C)cc(c(c2cc1C)C)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002183,1.24384,2.50808,2.93137,3.89059,5.14005,[V],"['[O-]C(=O)C12CCC(CC1)(C(C2)C)C(=O)[O-]', '[O-]C(=O)c1cc2c(C)cc(c(c2cc1C)C)C(=O)[O-]', '[O]']",3
hMOF-1002917,N#Cc1c(C#N)c(cc2c1c(C#N)c(C#N)c1c2c(C#N)c(c2c1cc(cc2)C(=O)[O-])C#N)C(=O)[O-].N#Cc1c(ccc(c1C#N)C(=O)[O-])c1ccc(c(c1)C#N)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.436553,1.46909,2.27487,4.70068,8.33953,[V],"['N#Cc1c(C#N)c(cc2c1c(C#N)c(C#N)c1c2c(C#N)c(c2c1cc(cc2)C(=O)[O-])C#N)C(=O)[O-]', 'N#Cc1c(ccc(c1C#N)C(=O)[O-])c1ccc(c(c1)C#N)C(=O)[O-]', '[O]']",3
hMOF-1003078,[O-]C(=O)C1=[C]C2=C3[C]=CC4=C(C3=[C]C=C2C=C1)[C]=C(C(=C4)F)C(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])F)F.[O].[V] MOFid-v1.rna.cat0,0.768334,2.39689,3.26673,5.48895,8.39304,[V],"['[O-]C(=O)C1=[C]C2=C3[C]=CC4=C(C3=[C]C=C2C=C1)[C]=C(C(=C4)F)C(=O)[O-]', '[O-]C(=O)C=CC(=C(C(=O)[O-])F)F', '[O]']",3
hMOF-6003983,CCCc1cc(C=Cc2cc(CCC)c(c(c2CCC)CCC)C(=O)[O-])c(c(c1C(=O)[O-])CCC)CCC.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003983,1.60148,2.76007,3.52324,5.80872,8.63426,[V],"['CCCc1cc(C=Cc2cc(CCC)c(c(c2CCC)CCC)C(=O)[O-])c(c(c1C(=O)[O-])CCC)CCC', '[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', '[O]']",3
hMOF-1001003,[O-]C(=O)C(=CC(=O)[O-])OCCC.[O-]C(=O)C=CC(=O)[O-].[O].[V] MOFid-v1.UNKNOWN,0.37583,1.70388,2.40376,3.6848,4.72391,[V],"['[O-]C(=O)C(=CC(=O)[O-])OCCC', '[O-]C(=O)C=CC(=O)[O-]', '[O]']",3
hMOF-6002225,[O-]C(=O)C12CC(Cl)(Cl)C(C(C1Cl)Cl)(CC2(Cl)Cl)C(=O)[O-].[O-]C(=O)c1cc2c(cc1Cl)ccc1c2cc(Cl)c2c1cc(c(c2Cl)Cl)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002225,0.39164,1.56846,2.18461,3.51123,3.98429,[V],"['[O-]C(=O)C12CC(Cl)(Cl)C(C(C1Cl)Cl)(CC2(Cl)Cl)C(=O)[O-]', '[O-]C(=O)c1cc2c(cc1Cl)ccc1c2cc(Cl)c2c1cc(c(c2Cl)Cl)C(=O)[O-]', '[O]']",3
hMOF-6001333,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1cc(N)c2c(c1)c1ccc3c4c1c(c2N)[NH2][NH2]c4c(c(c3N)N)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001333,0.75988,1.95671,2.46975,4.63464,8.43011,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1cc(N)c2c(c1)c1ccc3c4c1c(c2N)[NH2][NH2]c4c(c(c3N)N)C(=O)[O-]', '[O]']",3
hMOF-1002581,[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.80504,1.97745,2.44822,4.24707,6.64202,[V],"['[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]', '[O]']",3
hMOF-6003523,CCC12C3C4C2(C2(C1C3(C42)C#CC(=O)[O-])CC)C#CC(=O)[O-].CCc1c(CC)c2c(C(=O)[O-])c(CC)ccc2c2c1ccc(c2)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003523,0.940351,2.10847,2.79514,4.84759,8.2869,[V],"['CCC12C3C4C2(C2(C1C3(C42)C#CC(=O)[O-])CC)C#CC(=O)[O-]', 'CCc1c(CC)c2c(C(=O)[O-])c(CC)ccc2c2c1ccc(c2)C(=O)[O-]', '[O]']",3
hMOF-6004675,Cc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1ccc(c(c1)C)C(=O)[O-])C.[O-]C(=O)C#CC#CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6004675,0.570455,2.03888,2.94751,5.12838,6.2631,[V],"['Cc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1ccc(c(c1)C)C(=O)[O-])C', '[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O]']",3
