MOF,MOFid,CO2_wc_001,CO2_wc_005,CO2_wc_01,CO2_wc_05,CO2_wc_25,metal_node,organic_linker,len_linkers
hMOF-5011308,Fc1c(cc(c(c1F)c1ccc(cc1F)C(=O)[O-])F)c1ccc(c(c1)F)C(=O)[O-].Fc1cc(ccc1c1ccc(c(c1F)F)C(=O)[O-])c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)C#CC12CC(F)C(C(C1F)(F)F)(C(C2(F)F)(F)F)C#CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,0.399684,1.27172,2.06977,5.77328,10.7012,[Zn][O]([Zn])([Zn])[Zn],"['Fc1c(cc(c(c1F)c1ccc(cc1F)C(=O)[O-])F)c1ccc(c(c1)F)C(=O)[O-]', 'Fc1cc(ccc1c1ccc(c(c1F)F)C(=O)[O-])c1c(F)c(F)c(c(c1F)F)C(=O)[O-]', '[O-]C(=O)C#CC12CC(F)C(C(C1F)(F)F)(C(C2(F)F)(F)F)C#CC(=O)[O-]']",3
hMOF-12322,FOC(=O)c1c2=[C]C(=C(C(=c2c(c2c1cccc2F)C(=O)[O-])F)F)F.Fc1cc(F)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[O-]C(=O)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,0.143757,1.25705,2.23431,5.09879,7.47747,[Zn][O]([Zn])([Zn])[Zn],"['FOC(=O)c1c2=[C]C(=C(C(=c2c(c2c1cccc2F)C(=O)[O-])F)F)F', 'Fc1cc(F)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1', '[O-]C(=O)C(=O)[O-]']",3
hMOF-5017557,[O-]C(=O)C=C(C=C(C(=O)[O-])F)F.[O-]C(=O)C#CC12C3(F)C4C2(C2(C1(C3C42C#CC(=O)[O-])F)F)F.[O-]C(=O)[C]=CC(=[C]C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.UNKNOWN.cat0;5017557,0.533106,1.3946,2.00227,3.11651,3.56583,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)C=C(C=C(C(=O)[O-])F)F', '[O-]C(=O)C#CC12C3(F)C4C2(C2(C1(C3C42C#CC(=O)[O-])F)F)F', '[O-]C(=O)[C]=CC(=[C]C(=O)[O-])F']",3
hMOF-5020938,CCC(=CC(=O)[O-])C=CC(=O)[O-].CCC1=C(C=Cc2ccc(c(c2)CC)C(=O)[O-])[C]=CC(=C1CC)C(=O)[O-].CCC1=C(CC)C(=C[C]=C1C=Cc1ccc(c(c1)CC)C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5020938,0.395178,1.21508,2.12681,5.02545,7.05847,[Zn][O]([Zn])([Zn])[Zn],"['CCC(=CC(=O)[O-])C=CC(=O)[O-]', 'CCC1=C(C=Cc2ccc(c(c2)CC)C(=O)[O-])[C]=CC(=C1CC)C(=O)[O-]', 'CCC1=C(CC)C(=C[C]=C1C=Cc1ccc(c(c1)CC)C(=O)[O-])C(=O)[O-]']",3
hMOF-5015263,[O-]C(=O)C12C3C4C1C1(C2(C3C41C(=O)[O-])Br)Br.[O-]C(=O)c1cc2C(=[C]c3c4c2c(c1Br)cc(c4c(c(c3)C(=O)[O-])Br)Br)Br.[O-]C(=O)c1cc2C=[C]c3c4c2c(c1)ccc4cc(c3)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5015263,0.368214,1.24398,2.1797,4.35037,5.60409,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)C12C3C4C1C1(C2(C3C41C(=O)[O-])Br)Br', '[O-]C(=O)c1cc2C(=[C]c3c4c2c(c1Br)cc(c4c(c(c3)C(=O)[O-])Br)Br)Br', '[O-]C(=O)c1cc2C=[C]c3c4c2c(c1)ccc4cc(c3)C(=O)[O-]']",3
hMOF-4793,Fc1cc(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(c(c1)F)C(=O)[O-])F)F.[O-]C(=O)C=C(C(=O)[O-])F.[O-]C(=O)c1cc(F)c(c(c1)F)c1ccc(c(c1F)F)c1cc(F)c(c(c1F)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,0.845534,2.53529,3.76258,5.30148,6.42387,[Zn][O]([Zn])([Zn])[Zn],"['Fc1cc(c2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(c(c1)F)C(=O)[O-])F)F', '[O-]C(=O)C=C(C(=O)[O-])F', '[O-]C(=O)c1cc(F)c(c(c1)F)c1ccc(c(c1F)F)c1cc(F)c(c(c1F)F)C(=O)[O-]']",3
hMOF-14021,[O-]C(=O)c1cc(Cl)c(c(c1)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)c1cc(Cl)c(cc1Cl)C(=O)[O-].[O-]C(=O)c1cc2c(Cl)cc3c4c2c(c1Cl)ccc4cc(c3Cl)C(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)c(Cl)cc4cc(c3Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,0.429006,1.58598,2.44861,4.91761,6.55612,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)c1cc(Cl)c(c(c1)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)c1cc(Cl)c(cc1Cl)C(=O)[O-]', '[O-]C(=O)c1cc2c(Cl)cc3c4c2c(c1Cl)ccc4cc(c3Cl)C(=O)[O-]', '[O-]C(=O)c1cc2ccc3c4c2c(c1)c(Cl)cc4cc(c3Cl)C(=O)[O-]']",3
hMOF-5011053,[O-]C(=O)C12C(F)C(F)C(C(C1F)F)(C(C2F)(F)F)C(=O)[O-].[O-]C(=O)C12CC(F)C(C(C1F)F)(C(C2F)(F)F)C(=O)[O-].[O-]C(=O)C12CCC(C(C1)(F)F)(CC2F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,3.10964,3.46623,3.46623,3.46623,3.46623,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)C12C(F)C(F)C(C(C1F)F)(C(C2F)(F)F)C(=O)[O-]', '[O-]C(=O)C12CC(F)C(C(C1F)F)(C(C2F)(F)F)C(=O)[O-]', '[O-]C(=O)C12CCC(C(C1)(F)F)(CC2F)C(=O)[O-]']",3
hMOF-3254,[O-]C(=O)c1ccc(c(c1F)F)N=Nc1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1F)F)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat3,0.472495,1.91149,2.64154,4.47656,5.60095,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)c1ccc(c(c1F)F)N=Nc1cc(F)c(c(c1F)F)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1F)F)c1cc(F)c(c(c1F)F)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)N=Nc1ccc(c(c1)F)C(=O)[O-]']",3
hMOF-1507,CCCc1c(C#CC(=O)[O-])cc(c(c1CCC)C#CC(=O)[O-])CCC.CCCc1c(ccc(c1CCC)c1cc(CCC)c(c(c1)CCC)C(=O)[O-])C(=O)[O-].CCCc1c(ccc(c1CCC)c1cc(CCC)c(c(c1CCC)CCC)C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,0.316768,1.50863,2.66672,6.52835,9.28223,[Zn][O]([Zn])([Zn])[Zn],"['CCCc1c(C#CC(=O)[O-])cc(c(c1CCC)C#CC(=O)[O-])CCC', 'CCCc1c(ccc(c1CCC)c1cc(CCC)c(c(c1)CCC)C(=O)[O-])C(=O)[O-]', 'CCCc1c(ccc(c1CCC)c1cc(CCC)c(c(c1CCC)CCC)C(=O)[O-])C(=O)[O-]']",3
hMOF-4718,ClC(=C(C(=O)[O-])Cl)C(=O)[O-].[O-]C(=O)C1=C[C]=C([C]=C1)C1=[C]C(=C(C(=[C]1)Cl)C(=O)[O-])Cl.[O-]C(=O)C=CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,1.21912,2.09129,2.49014,3.05751,3.50317,[Zn][O]([Zn])([Zn])[Zn],"['ClC(=C(C(=O)[O-])Cl)C(=O)[O-]', '[O-]C(=O)C1=C[C]=C([C]=C1)C1=[C]C(=C(C(=[C]1)Cl)C(=O)[O-])Cl', '[O-]C(=O)C=CC(=O)[O-]']",3
