MOF,MOFid,CO2_wc_001,CO2_wc_005,CO2_wc_01,CO2_wc_05,CO2_wc_25,metal_node,organic_linker,len_linkers
hMOF-25655,BrC1=[C]C(=CC=N1)c1ccnc(c1)Br.[O-]C(=O)c1cc2c(Br)cc3c4c2c(c1Br)c(Br)c(c4c(c(c3Br)C(=O)[O-])Br)Br.[O-]C(=O)c1ccc(cc1)c1ccc(cc1Br)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1,0.386808,1.52257,2.28462,3.69881,4.61014,[Zn][Zn],"['BrC1=[C]C(=CC=N1)c1ccnc(c1)Br', '[O-]C(=O)c1cc2c(Br)cc3c4c2c(c1Br)c(Br)c(c4c(c(c3Br)C(=O)[O-])Br)Br', '[O-]C(=O)c1ccc(cc1)c1ccc(cc1Br)C(=O)[O-]']",3
hMOF-24623,FOC(=O)c1c2C=C(F)C(=[C]c2c(c2c1[C]=CC(=C2)F)C(=O)OF)F.Fc1cc(ccc1C#Cc1ccc(c(c1F)F)C(=O)[O-])C(=O)[O-].Fc1cnccc1C#Cc1ccncc1.[Zn][Zn] MOFid-v1.pcu.cat1,0.392722,1.64566,2.80335,6.22525,8.20989,[Zn][Zn],"['FOC(=O)c1c2C=C(F)C(=[C]c2c(c2c1[C]=CC(=C2)F)C(=O)OF)F', 'Fc1cc(ccc1C#Cc1ccc(c(c1F)F)C(=O)[O-])C(=O)[O-]', 'Fc1cnccc1C#Cc1ccncc1']",3
hMOF-17439,Fc1nccc(c1)c1c(F)cnc(c1F)F.[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(c(c1)F)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1,0.343812,1.39445,2.2565,4.08811,5.48658,[Zn][Zn],"['Fc1nccc(c1)c1c(F)cnc(c1F)F', '[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1ccc(c(c1)F)C(=O)[O-]']",3
hMOF-5041967,FC1=[C]C(=c2c(=C1F)c(C(=O)[O-])c1c(c2C(=O)[O-])C=[C]C=C1)F.Fc1c(F)c(F)c2c(c1F)nc1c(n2)c(F)c(cc1)F.[O-]C(=O)C12CC(F)(F)C(C(C1F)(F)F)(C(C2(F)F)F)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;5041967,1.46701,2.77884,3.18532,3.72193,4.44752,[Zn][Zn],"['FC1=[C]C(=c2c(=C1F)c(C(=O)[O-])c1c(c2C(=O)[O-])C=[C]C=C1)F', 'Fc1c(F)c(F)c2c(c1F)nc1c(n2)c(F)c(cc1)F', '[O-]C(=O)C12CC(F)(F)C(C(C1F)(F)F)(C(C2(F)F)F)C(=O)[O-]']",3
hMOF-24317,Cc1cc(C)c2c(c1)nccn2.Cc1ccc2c(c1)c(C(=O)[O-])c(c(c2C(=O)[O-])C)C.[O-]C(=O)c1cc(C)c(c2c1c(C)ccc2C)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0,0.533562,1.81249,2.79477,4.88488,6.58179,[Zn][Zn],"['Cc1cc(C)c2c(c1)nccn2', 'Cc1ccc2c(c1)c(C(=O)[O-])c(c(c2C(=O)[O-])C)C', '[O-]C(=O)c1cc(C)c(c2c1c(C)ccc2C)C(=O)[O-]']",3
hMOF-16918,COC1=[N]=C(OC)C(=C([CH]1)c1ccncc1)OC.COc1c(ccc(c1OC)C(=O)[O-])c1ccc(c(c1)OC)C(=O)[O-].COc1cc(C(=O)[O-])c(cc1c1ccc(c(c1)[O])C(=O)[O-])OC.[Zn][Zn] MOFid-v1.pcu.cat1,0.610371,1.97176,2.68363,4.12791,5.01422,[Zn][Zn],"['COC1=[N]=C(OC)C(=C([CH]1)c1ccncc1)OC', 'COc1c(ccc(c1OC)C(=O)[O-])c1ccc(c(c1)OC)C(=O)[O-]', 'COc1cc(C(=O)[O-])c(cc1c1ccc(c(c1)[O])C(=O)[O-])OC']",3
hMOF-26299,CCC(=C(C(=O)[O-])[CH2])C=[C]C(=O)[O-].CCN=C(C=N)CC.CCc1c(cc2c3c1cc(CC)c1c3c(c(c2CC)CC)c(c(c1)C(=O)[O-])CC)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0,0.187006,1.00774,2.0533,7.16039,10.6067,[Zn][Zn],"['CCC(=C(C(=O)[O-])[CH2])C=[C]C(=O)[O-]', 'CCN=C(C=N)CC', 'CCc1c(cc2c3c1cc(CC)c1c3c(c(c2CC)CC)c(c(c1)C(=O)[O-])CC)C(=O)[O-]']",3
hMOF-5057872,COc1cc(ccc1C(=O)[O-])N1C(=O)c2cc(OC)c3c4c2c(C1=O)c(OC)cc4c1c2c3c(OC)c(OC)c3c2c(c(c1)OC)C(=O)N(C3=O)c1ccc(c(c1)OC)C(=O)[O-].COc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)c(OC)c(c4c1c2c3c(OC)cc3c2c(cc1OC)C(=O)N(C3=O)c1c(OC)c(OC)c(c(c1OC)OC)C(=O)[O-])OC.N#CC#CC#N.[Zn][Zn] MOFid-v1.pcu,0.562002,1.57636,2.25351,4.30353,9.62289,[Zn][Zn],"['COc1cc(ccc1C(=O)[O-])N1C(=O)c2cc(OC)c3c4c2c(C1=O)c(OC)cc4c1c2c3c(OC)c(OC)c3c2c(c(c1)OC)C(=O)N(C3=O)c1ccc(c(c1)OC)C(=O)[O-]', 'COc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)c(OC)c(c4c1c2c3c(OC)cc3c2c(cc1OC)C(=O)N(C3=O)c1c(OC)c(OC)c(c(c1OC)OC)C(=O)[O-])OC', 'N#CC#CC#N']",3
hMOF-5035411,ClO[C](c1c2[C]=[C][C]=Cc2c(c2c1[C]=[C][C]=C2)C(=O)[O-])OCl.N#CC#N.[O-]C(=O)c1c2C=[C][C]=Cc2c(c2c1C(=C[C]=C2Cl)Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu,0.48104,2.38745,3.60988,5.56966,6.99344,[Zn][Zn],"['ClO[C](c1c2[C]=[C][C]=Cc2c(c2c1[C]=[C][C]=C2)C(=O)[O-])OCl', 'N#CC#N', '[O-]C(=O)c1c2C=[C][C]=Cc2c(c2c1C(=C[C]=C2Cl)Cl)C(=O)[O-]']",3
hMOF-5050024,N[NH2]C(=CC1=CC=C(C=[C]1)C(=O)[O-])C1=C(N)[C]=C(C(=C1N)N)C(=O)[O-].Nc1c(ccc(c1N)C(=O)[O-])C1=Cc2c([NH2][NH2]1)c(N)c(c(c2N)N)C(=O)[O-].Nc1ncc2c3c1c(N)cc1c3c(c(c2)N)c(nc1)N.[Zn][Zn] MOFid-v1.pcu.cat1;5050024,0.345569,1.60659,2.78537,7.23006,9.85404,[Zn][Zn],"['N[NH2]C(=CC1=CC=C(C=[C]1)C(=O)[O-])C1=C(N)[C]=C(C(=C1N)N)C(=O)[O-]', 'Nc1c(ccc(c1N)C(=O)[O-])C1=Cc2c([NH2][NH2]1)c(N)c(c(c2N)N)C(=O)[O-]', 'Nc1ncc2c3c1c(N)cc1c3c(c(c2)N)c(nc1)N']",3
