uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
0,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])cc3F)c(F)c2)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1cccc(F)c1,Fc1ccccc1,6,16,53.822343373473686,0,True
13,O=C([O-])c1ccc(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccccc1F,7,18,57.90606155787839,13,True
25,CCCc1cc(C(=O)[O-])ccc1-c1nnc(-c2c(CCC)cc(C(=O)[O-])cc2CCC)nn1,CCCc1cc(CCC)cc(C(=O)[O-])c1.CCCc1cccc(C(=O)[O-])c1,c1nncnn1,14,26,64.51590946634055,25,True
55,Clc1nccc(N(Cl)N(Cl)c2c(Cl)c(Cl)nc(Cl)c2Cl)c1Cl,Clc1cc(Cl)c(Cl)nc1Cl.Clc1cccnc1Cl,ClNNCl,7,15,43.17099068425034,55,True
0,O=C([O-])c1ccc(C=C(F)c2cc(F)c(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,7,18,44.118369286885965,0,True
12,Cc1cc(-c2ccc(-c3cc(C)c(C(=O)[O-])c(C)c3)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C)c1C(=O)[O-],Cc1ccccc1,3,14,79.40720066986421,12,True
25,O=C([O-])c1ccc(-c2nnc(-c3cc(F)c(C(=O)[O-])cc3F)nn2)c(F)c1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1,c1nncnn1,7,17,46.13220574689881,25,True
33,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)cc1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1ccccc1F,c1nncnn1,7,18,47.5093328920518,33,True
0,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1ccccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,6,16,55.29795610109365,0,True
15,Fc1cc(-c2ccc(-c3ccncc3F)cc2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cccnc1,c1ccccc1,3,15,47.36432072415575,15,True
23,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])cc3F)c(F)c2F)c(F)c1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1cccc(F)c1,Fc1ccc(F)c(F)c1,7,17,56.04101594975574,23,True
37,Fc1cc(-c2c(F)c(F)nc(F)c2F)c(F)c(F)c1-c1c(F)c(F)nc(F)c1F,Fc1cc(F)c(F)nc1F.Fc1cc(F)c(F)nc1F,Fc1ccc(F)c(F)c1,7,17,51.370298168740334,37,True
0,O=C([O-])c1ccc(-c2ccc(-c3cc(F)c(C(=O)[O-])cc3F)cc2)c(F)c1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1,c1ccccc1,7,17,54.18175021400422,0,True
13,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])cc3F)cc2F)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.07978225437908,13,True
41,Fc1cc(-c2ccc(-c3c(F)cncc3F)c(F)c2F)c(F)cn1,Fc1ccc(F)nc1.Fc1cncc(F)c1,Fc1ccccc1F,3,15,49.676636000461485,41,True
51,CCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCC,4,9,3.2853957289904487,51,True
0,O=C([O-])c1cc(F)c(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)cc2F)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)ccc1F,Fc1ccccc1,7,19,57.55587288966672,0,True
12,Fc1cc(-c2cc(F)c(-c3ccnc(F)c3F)cc2F)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cccnc1F,Fc1ccc(F)cc1,3,14,49.04936638295168,12,True
22,O=C([O-])c1ccc(-c2c(F)cc(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)c(F)c1,O=C([O-])c1c(F)cccc1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,17,56.06224687573839,22,True
34,O=C([O-])c1cc(F)c(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2F)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1F,Fc1ccccc1,7,17,56.1957365024255,34,True
0,O=C([O-])c1cc(F)c(C(F)=Cc2ccc(C(=O)[O-])c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1ccccc1F,C=CF,7,17,42.76789996989631,0,True
11,Fc1cc(-c2cc(F)c(-c3c(F)cnc(F)c3F)c(F)c2)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cnc(F)c(F)c1,Fc1cccc(F)c1,3,17,49.625075235906245,11,True
18,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.82978058930073,18,True
30,CCc1cc(-c2nnc(-c3cc(CC)c(C(=O)[O-])c(CC)c3CC)nn2)ccc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1CC.CCc1ccccc1C(=O)[O-],c1nncnn1,4,19,78.78644790003253,30,True
0,O=C([O-])c1cc(F)c(-c2ccc(-c3cc(F)c(C(=O)[O-])cc3F)c(F)c2)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cc(F)ccc1F,Fc1ccccc1,7,18,56.11070828733608,0,True
12,Cc1cc(C(=O)[O-])ccc1-c1nnc(-c2cc(C)c(C(=O)[O-])c(C)c2)nn1,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C)c1C(=O)[O-],c1nncnn1,9,13,61.66314713918892,12,True
20,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)cc(C(=O)[O-])cc2C)cc1C,Cc1cc(C)cc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,10,20,67.4122596878346,20,True
27,ClC(=Cc1ccncc1Cl)c1cc(Cl)nc(Cl)c1Cl,Clc1ccc(Cl)c(Cl)n1.Clc1cccnc1,C=CCl,3,15,39.90974921393027,27,True
0,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)cc1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1ccccc1,c1nncnn1,7,18,46.36638898192669,0,True
20,Cc1cc(-c2ccc(-c3cc(C)c(C(=O)[O-])c(C)c3)c(C)c2C)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C)c1C(=O)[O-],Cc1ccccc1C,3,14,86.29004680921891,20,True
31,Cc1cc(-c2ccc(-c3c(C)cnc(C)c3C)cc2C)c(C)c(C)n1,Cc1ccc(C)c(C)n1.Cc1cnc(C)c(C)c1,Cc1ccccc1,3,17,70.14320767824283,31,True
35,NC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CN,4,9,2.2769211241387524,35,True
0,O=C([O-])c1ccc(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1ccccc1F,7,18,57.28226785818832,0,True
15,O=C([O-])C#CC(F)=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],FC=CF,4,9,0.7713493599883552,15,True
29,CCCOc1cc(C(=O)[O-])ccc1-c1nnc(-c2ccc(C(=O)[O-])cc2)nn1,CCCOc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,12,19,48.12264950217888,29,True
