uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
0,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.035110263342132
1,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.0351305850436443
2,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.0355402932061966
3,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.0358229599341862
4,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.1131553288856297
5,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.117599445536781
6,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.121708618405929
7,Cc1cc(-c2c(C)cc(-c3ccc(C(=O)[O-])c(C)c3C)c(C)c2C)c(C)c(C)c1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1C,Cc1ccc(C)c(C)c1,8,14,101.45461896569516
8,Cc1cc(-c2c(C)cc(-c3ccc(C(=O)[O-])c(C)c3C)c(C)c2C)c(C)c(C)c1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1C,Cc1ccc(C)c(C)c1,8,14,101.54086055252411
9,Cc1cc(-c2c(C)cc(-c3ccc(C(=O)[O-])c(C)c3C)c(C)c2C)c(C)c(C)c1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1C,Cc1ccc(C)c(C)c1,8,14,101.59786923584268
10,Cc1cc(-c2c(C)cc(-c3ccc(C(=O)[O-])c(C)c3C)c(C)c2C)c(C)c(C)c1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1C,Cc1ccc(C)c(C)c1,8,14,101.64346815137827
11,Cc1cc(-c2c(C)cc(-c3ccc(C(=O)[O-])c(C)c3C)c(C)c2C)c(C)c(C)c1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1C,Cc1ccc(C)c(C)c1,8,14,101.78439263464648
12,Cc1cc(-c2c(C)cc(-c3ccc(C(=O)[O-])c(C)c3C)c(C)c2C)c(C)c(C)c1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1C,Cc1ccc(C)c(C)c1,8,14,101.82350127162915
13,Cc1cc(-c2c(C)cc(-c3ccc(C(=O)[O-])c(C)c3C)c(C)c2C)c(C)c(C)c1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1C,Cc1ccc(C)c(C)c1,8,14,101.90826057809055
14,Cc1cc(-c2c(C)cc(-c3ccc(C(=O)[O-])c(C)c3C)c(C)c2C)c(C)c(C)c1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1C,Cc1ccc(C)c(C)c1,8,14,102.79748478609172
15,Cc1cc(-c2c(C)cc(-c3ccc(C(=O)[O-])c(C)c3C)c(C)c2C)c(C)c(C)c1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1C,Cc1ccc(C)c(C)c1,8,14,102.95799448244895
16,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.17028278845513
17,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.17028280083113
18,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.23840577532469
19,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.238410483163264
20,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.238410602190946
21,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.238410621740385
22,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.25176537521022
23,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.251765378198314
24,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.2517670602505
25,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.25176707408716
26,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.3332497530098
27,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.428465469610614
28,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.428465533795304
29,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.42850661804493
30,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.428506678226114
31,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.42850690597345
32,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.42891431399501
33,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.509770269010225
34,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.5098133529017
35,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.51021871069066
36,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.51021872281237
37,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.51021872850895
38,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.51026234690737
39,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.51026238829471
