uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
0,Cc1cc(-c2nnc(-c3cc(C)c(C(=O)[O-])cc3C)nn2)ccc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1ccccc1C(=O)[O-],c1nncnn1,3,14,62.2323168882639,0,True
10,O=C([O-])C#CC(F)=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],FC=CF,4,9,0.7713493599883552,10,True
0,O=C([O-])c1ccc(C(O)=C(O)c2cc(O)c(C(=O)[O-])cc2O)cc1O,O=C([O-])c1cc(O)ccc1O.O=C([O-])c1ccccc1O,OC=CO,7,17,51.08328272732484,0,True
13,O=C([O-])c1ccc(-c2nnc(-c3cc(Cl)c(C(=O)[O-])cc3Cl)nn2)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,c1nncnn1,7,17,54.187778250238296,13,True
0,NC(=Cc1cc(N)c(C(=O)[O-])c(N)c1N)c1cc(N)c(C(=O)[O-])c(N)c1,Nc1ccc(N)c(C(=O)[O-])c1N.Nc1cccc(N)c1C(=O)[O-],C=CN,3,14,72.89858075241517,0,True
10,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,3,17,55.62431786195225,10,True
0,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])c(C)c3C)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,c1nncnn1,8,14,73.79901188960139,0,True
20,CC(=Cc1ccc(C(=O)[O-])c(C)c1)c1cc(C)c(C(=O)[O-])c(C)c1C,Cc1ccc(C)c(C(=O)[O-])c1C.Cc1ccccc1C(=O)[O-],C=CC,3,15,70.66542281797634,20,True
0,N#CC(=Cc1cc(C#N)c(C(=O)[O-])cc1C#N)c1cc(C#N)c(C(=O)[O-])cc1C#N,N#Cc1ccc(C#N)c(C(=O)[O-])c1.N#Cc1ccc(C#N)c(C(=O)[O-])c1,C=CC#N,4,17,53.94880791222118,0,True
17,N#CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC#N,4,9,1.3974196576469808,17,True
0,CCc1cc(-c2nnc(-c3cc(CC)c(C(=O)[O-])c(CC)c3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1ccc(CC)c(C(=O)[O-])c1CC,c1nncnn1,4,19,86.5153576954478,0,True
34,CCc1cc(C(=O)[O-])ccc1-c1nnc(-c2ccc(C(=O)[O-])c(CC)c2CC)nn1,CCc1cccc(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1CC,c1nncnn1,9,23,72.42581652010287,34,True
0,CCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCC,4,9,3.2853957289904487,0,True
8,Cc1cc(C(=O)[O-])ccc1-c1nnc(-c2ccc(C(=O)[O-])c(C)c2C)nn1,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,c1nncnn1,8,20,67.13084340684678,8,True
0,O=C([O-])c1ccc(C=C(c2ccccc2)c2ccc(C(=O)[O-])c(-c3ccccc3)c2)cc1-c1ccccc1,O=C([O-])c1ccccc1-c1ccccc1.O=C([O-])c1ccccc1-c1ccccc1,C=Cc1ccccc1,6,21,101.10556905102844,0,True
20,O=C([O-])C#CC(Cl)=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],ClC=CCl,4,9,2.384937940529906,20,True
