uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
0,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])c(F)c3)nn2)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1F,c1nncnn1,6,16,44.72180607741212,0,True
7,Fc1cc(-c2c(F)cnc(F)c2F)ccc1-c1c(F)cnc(F)c1F,Fc1cnc(F)c(F)c1.Fc1cnc(F)c(F)c1,Fc1ccccc1,8,17,49.74653992569215,7,True
14,O=C([O-])c1ccc(-c2ccc(-c3cc(F)c(C(=O)[O-])cc3F)cc2)c(F)c1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1,c1ccccc1,7,17,54.18175021400422,14,True
0,Cc1cc(-c2nnc(-c3ccncc3C)nn2)c(C)cn1,Cc1ccc(C)nc1.Cc1cccnc1,c1nncnn1,3,14,50.81224797036311,0,True
4,O=C([O-])c1cc(F)c(-c2nnc(-c3cc(F)c(C(=O)[O-])c(F)c3F)nn2)c(F)c1,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)cc(F)c1,c1nncnn1,7,19,49.14187850088976,4,True
12,Clc1cc(-c2ccc(-c3ccnc(Cl)c3Cl)c(Cl)c2)cc(Cl)n1,Clc1cccc(Cl)n1.Clc1cccnc1Cl,Clc1ccccc1,3,13,49.25407220034866,12,True
0,CCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCC,4,9,3.2853957289904487,0,True
16,Clc1cc(-c2c(Cl)cc(-c3c(Cl)c(Cl)nc(Cl)c3Cl)c(Cl)c2Cl)c(Cl)c(Cl)n1,Clc1cc(Cl)c(Cl)nc1Cl.Clc1ccc(Cl)c(Cl)n1,Clc1ccc(Cl)c(Cl)c1,3,16,57.60044958355286,16,True
20,CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC,4,9,2.2565308980697814,20,True
0,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.03557264370377,0,True
10,O=C([O-])c1c(F)cc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)ccc(F)c1F,Fc1cccc(F)c1,7,19,59.74710782842139,10,True
24,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.64724401536381,24,True
0,Fc1cc(-c2cc(F)c(-c3ccnc(F)c3F)c(F)c2)c(F)cn1,Fc1ccc(F)nc1.Fc1cccnc1F,Fc1cccc(F)c1,3,13,48.939814206159184,0,True
8,Fc1cc(-c2c(F)cncc2F)c(F)cc1-c1ccnc(F)c1F,Fc1cccnc1F.Fc1cncc(F)c1,Fc1ccc(F)cc1,7,13,49.661071115859606,8,True
17,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)c(F)c1,O=C([O-])c1c(F)cccc1F.O=C([O-])c1cccc(F)c1,Fc1ccc(F)cc1,7,17,56.29540168610448,17,True
0,CCc1cc(C(=O)[O-])ccc1-c1nnc(-c2ccc(C(=O)[O-])c(CC)c2CC)nn1,CCc1cccc(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1CC,c1nncnn1,9,23,72.42581652010287,0,True
13,O=C([O-])c1cc(F)c(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1nncnn1,7,19,50.552009048663166,13,True
19,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2F)c(F)c1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1cc(F)cc(F)c1F,Fc1ccccc1,7,19,56.625466000784805,19,True
0,O=C([O-])c1ccc(-c2ccc(-c3c(F)cc(C(=O)[O-])cc3F)c(F)c2)cc1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1ccccc1,Fc1ccccc1,7,17,53.59743809769066,0,True
10,O=C([O-])c1ccc(C(F)=Cc2cc(F)c(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,7,18,43.75234052338456,10,True
20,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.192212176541918,20,True
0,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,Fc1ccccc1,7,19,57.861244820047126,0,True
10,O=C([O-])c1ccc(-c2ccc(-c3c(F)c(F)c(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1ccccc1F,8,19,58.13661198164736,10,True
20,c1cc(-c2ccc(-c3ccncc3)cc2)ccn1,c1ccncc1.c1ccncc1,c1ccccc1,2,8,45.30401032163183,20,True
0,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)c(F)c1,6,17,57.89343780294178,0,True
28,Fc1cnccc1-c1ccc(-c2c(F)cnc(F)c2F)c(F)c1,Fc1cccnc1.Fc1cnc(F)c(F)c1,Fc1ccccc1,8,15,48.88048161910039,28,True
35,O=C([O-])C#CC=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CF,4,9,0.3011262356702235,35,True
0,CCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCC,4,9,3.2853957289904487,0,True
16,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.192212176541918,16,True
34,N#CC(=Cc1ccc(C(=O)[O-])cc1C#N)c1ccc(C(=O)[O-])c(C#N)c1,N#Cc1cccc(C(=O)[O-])c1.N#Cc1ccccc1C(=O)[O-],C=CC#N,10,15,48.26212430359157,34,True
0,Fc1cc(-c2nnc(-c3c(F)c(F)nc(F)c3F)nn2)c(F)c(F)n1,Fc1cc(F)c(F)nc1F.Fc1ccc(F)c(F)n1,c1nncnn1,3,16,40.78737617218431,0,True
4,O=C([O-])c1ccc(C=C(F)c2cc(F)c(C(=O)[O-])cc2F)c(F)c1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1,C=CF,7,17,42.13481431785683,4,True
19,FC(=C(F)c1ccnc(F)c1)c1ccnc(F)c1,Fc1ccccn1.Fc1ccccn1,FC=CF,3,10,35.84191486272117,19,True
0,O=C([O-])c1ccc(-c2cc(Cl)c(-c3ccc(C(=O)[O-])c(Cl)c3Cl)cc2Cl)c(Cl)c1,O=C([O-])c1cccc(Cl)c1.O=C([O-])c1cccc(Cl)c1Cl,Clc1ccc(Cl)cc1,6,17,63.4211461996718,0,True
10,CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC,4,9,2.2565308980697814,10,True
50,c1ccc(-c2cnc(-c3ccccc3)cn2)cc1,c1ccccc1.c1ccccc1,c1cnccn1,3,9,42.77127837797006,50,True
0,O=C([O-])C#CC(F)=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],FC=CF,4,9,0.7713493599883552,0,True
