uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
0,O=C([O-])c1ccc(-c2c(F)cc(-c3ccc(C(=O)[O-])c(F)c3)c(F)c2F)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1F,Fc1ccc(F)c(F)c1,6,16,55.805062039619344,0,True
33,O=C([O-])c1ccc(-c2ccc(-c3c(F)c(F)c(C(=O)[O-])c(F)c3F)cc2F)c(F)c1F,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccccc1,8,19,58.58172883502339,33,True
77,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3)c(F)c2F)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1F,Fc1ccc(F)c(F)c1,6,16,55.062187715895895,77,True
88,O=C([O-])c1cc(F)c(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)cc(F)c1,Fc1ccccc1F,7,19,58.02810460122125,88,True
97,O=C([O-])c1cc(Cl)c(-c2c(Cl)c(Cl)c(-c3cc(Cl)c(C(=O)[O-])cc3Cl)c(Cl)c2Cl)c(Cl)c1,O=C([O-])c1cc(Cl)cc(Cl)c1.O=C([O-])c1cc(Cl)ccc1Cl,Clc1cc(Cl)c(Cl)cc1Cl,7,18,66.60424064433862,97,True
104,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.82978058930071,104,True
128,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.03508573175536,128,True
0,O=C([O-])C#CC=C(Cl)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCl,4,9,1.03508573175536,0,True
77,CCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCC,4,9,3.285359730450311,77,True
98,O=C([O-])c1cc(F)c(-c2nnc(-c3cc(F)c(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1nncnn1,7,19,50.41675776556843,98,True
105,O=C([O-])C#CC=C(Br)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CBr,4,9,1.010244028608295,105,True
112,CC(=Cc1cc(C)c(C(=O)[O-])c(C)c1C)c1c(C)cc(C(=O)[O-])c(C)c1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1ccc(C)c(C(=O)[O-])c1C,C=CC,11,15,85.0961605940014,112,True
199,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,Fc1ccccc1F,7,19,58.65078371826901,199,True
0,O=C([O-])c1cc(F)c(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])cc3F)c(F)c2F)c(F)c1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1cc(F)ccc1F,Fc1ccc(F)c(F)c1,7,18,57.30327102827637,0,True
9,O=C([O-])c1ccc(-c2c(F)cc(-c3cc(F)c(C(=O)[O-])c(F)c3)c(F)c2F)c(F)c1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)c(F)c1,7,17,58.35798113950636,9,True
18,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3)c(F)c2)cc1F,O=C([O-])c1ccccc1F.O=C([O-])c1ccccc1F,Fc1ccccc1,6,16,54.31031420802945,18,True
30,O=C([O-])c1ccc(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1ccccc1,7,18,56.41472049928573,30,True
40,O=C([O-])c1cc(F)c(-c2c(F)cc(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)c(F)c1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1cc(F)cc(F)c1F,Fc1cccc(F)c1,7,18,57.90873189080511,40,True
52,O=C([O-])c1cc(F)c(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1ccccc1F,Fc1cccc(F)c1,7,17,55.78270224091862,52,True
65,CCc1cc(-c2nnc(-c3ccc(C(=O)[O-])c(CC)c3CC)nn2)c(CC)cc1C(=O)[O-],CCc1ccc(CC)c(C(=O)[O-])c1.CCc1cccc(C(=O)[O-])c1CC,c1nncnn1,9,17,80.73141367703333,65,True
0,O=C([O-])C#CC=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CF,4,9,0.301163404164368,0,True
72,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.1924779584907705,72,True
240,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)cc2F)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)cc1,7,18,58.424147888782734,240,True
252,O=C([O-])c1ccc(-c2ccc(-c3cc(F)c(C(=O)[O-])cc3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1,Fc1ccccc1,7,17,54.95566117150141,252,True
